trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.5, 'e': 0.812500000000004}",20,0,-34.825326818827264,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.810000000000004}",25,0,-135.67105109244417,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.8075000000000041}",20,0,-123.55171150474877,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.8050000000000042}",20,6,-84.40344125023972,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.8025000000000042}",35,1,-80.13690802205718,"{0: 28, 1: 0, 2: 4, 3: 0, 4: 2}",1
81,False,"{'a': 0.5, 'e': 0.8000000000000043}",20,0,-48.96398396447924,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.7975000000000043}",25,0,-67.61214604550275,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.7950000000000044}",20,0,-123.95885817320328,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.7925000000000044}",20,0,-38.01518969056238,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.7900000000000045}",20,0,-35.185431330030184,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.7875000000000045}",30,0,-24.01429453209877,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.7850000000000046}",30,0,-68.76736221185803,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.7825000000000046}",20,13,4.698397960317535,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.7800000000000047}",20,0,-93.45191035994799,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.7775000000000047}",25,0,-84.87435272865527,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.7750000000000048}",25,7,-10.863161077502017,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.7725000000000048}",20,2,2.1308775791213193,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.7700000000000049}",25,0,-123.19083044461712,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.767500000000005}",25,7,-63.79510374750421,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.765000000000005}",20,0,-76.45233825309322,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.7625000000000051}",20,0,-72.5440536141239,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.7600000000000051}",30,0,-61.914233788557745,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.7575000000000052}",20,0,-48.52564120588648,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.7550000000000052}",25,0,-94.27549884404696,"{0: 18, 1: 2, 2: 1, 3: 3, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.7525000000000053}",30,0,-47.565247191853096,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.7500000000000053}",20,0,-108.39394054011251,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.7475000000000054}",20,12,-23.348243353149623,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.7450000000000054}",25,0,12.141531246200094,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.7425000000000055}",20,0,-85.39330309981837,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.7400000000000055}",20,8,-5.315755860850185,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.7375000000000056}",30,0,-89.93896874586952,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.7350000000000056}",20,0,-85.0794182903145,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.7325000000000057}",25,7,-76.76513175118802,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.7300000000000058}",20,0,-19.29242781201975,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.7275000000000058}",25,0,-153.74936761783212,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.7250000000000059}",20,0,15.533915505457106,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.7225000000000059}",25,0,-127.6998478706884,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.720000000000006}",25,0,-126.74641912298436,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
114,False,"{'a': 0.5, 'e': 0.717500000000006}",20,16,6.36112417988099,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.7150000000000061}",20,5,-50.21430698472371,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.7125000000000061}",20,3,-123.58704141036368,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 2}",1
117,False,"{'a': 0.5, 'e': 0.7100000000000062}",20,8,-13.048383799791043,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.7075000000000062}",20,0,-72.68101376293939,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.7050000000000063}",25,14,-8.12351624891372,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.7025000000000063}",30,0,-60.6240031982956,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.7000000000000064}",20,0,-93.77024553958003,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.6975000000000064}",20,0,-10.109303640467393,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.6950000000000065}",20,0,-87.51878574941416,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.6925000000000066}",30,0,-92.24042538217559,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.6900000000000066}",30,0,-130.69589853450583,"{0: 20, 1: 0, 2: 6, 3: 3, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.6875000000000067}",20,0,-55.64684253896182,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.6850000000000067}",30,7,-118.27912588569302,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 2}",1
128,False,"{'a': 0.5, 'e': 0.6825000000000068}",25,5,-95.34776330107421,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
129,False,"{'a': 0.5, 'e': 0.6800000000000068}",20,0,-81.50968771009936,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.6775000000000069}",25,0,-155.84626794548737,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
131,False,"{'a': 0.5, 'e': 0.6750000000000069}",20,14,-5.411696853513188,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.672500000000007}",30,4,-98.70844822363225,"{0: 17, 1: 2, 2: 3, 3: 4, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.670000000000007}",30,0,-54.20876958948845,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.6675000000000071}",20,15,3.092311866010424,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.6650000000000071}",20,9,-44.96656639643299,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.6625000000000072}",20,0,-29.39894116401674,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.6600000000000072}",20,0,-18.284189095877043,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.6575000000000073}",25,0,-34.13482087293074,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.6550000000000074}",20,0,-104.73765586803837,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.6525000000000074}",20,7,2.4259045928329996,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.6500000000000075}",30,0,-108.33834416986787,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",1
142,False,"{'a': 0.5, 'e': 0.6475000000000075}",25,0,-99.13943616508288,"{0: 18, 1: 4, 2: 0, 3: 1, 4: 2}",1
143,False,"{'a': 0.5, 'e': 0.6450000000000076}",25,0,-157.27308215198173,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.6425000000000076}",25,0,-57.96047524650661,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.6400000000000077}",20,8,-76.59571249857021,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
146,False,"{'a': 0.5, 'e': 0.6375000000000077}",25,0,2.54560591901528,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.6350000000000078}",30,12,-75.80065569013652,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.6325000000000078}",30,14,-21.55878414984953,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.6300000000000079}",25,0,-96.87284669943453,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.6275000000000079}",25,6,21.139332609245663,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.625000000000008}",20,0,-68.78797417205467,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.622500000000008}",25,0,-44.09500483361452,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.6200000000000081}",20,0,17.700171102223194,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.6175000000000082}",20,9,-37.63691096227464,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.6150000000000082}",20,10,-10.581984873502146,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.6125000000000083}",30,14,6.383723832370974,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.6100000000000083}",20,5,-34.57033826385786,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.6075000000000084}",20,0,-33.64719638362658,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.6050000000000084}",25,0,-94.51665809825117,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
160,False,"{'a': 0.5, 'e': 0.6025000000000085}",20,0,-31.597830511022693,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.6000000000000085}",20,0,-23.857401732342794,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.5975000000000086}",30,13,-45.91082599788084,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.5950000000000086}",25,0,-52.509723124848925,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.5925000000000087}",25,0,-90.9996098720303,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.5900000000000087}",20,0,-1.920966474664101,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.5875000000000088}",25,0,-66.62679491863888,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.5850000000000088}",25,0,-116.3582226521577,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
168,False,"{'a': 0.5, 'e': 0.5825000000000089}",20,0,-42.79114934223962,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
